Interaction_Description,Simplified_Description
Trioxsalen may increase the photosensitizing activities of Verteporfin.,"When trioxsalen and verteporfin are used together, the skin may become more sensitive to light, potentially leading to increased photosensitivity reactions."
Aminolevulinic acid may increase the photosensitizing activities of Verteporfin.,"Aminolevulinic acid can make your skin more sensitive to light when used with Verteporfin, which could cause skin reactions like burning or redness"
Titanium dioxide may increase the photosensitizing activities of Verteporfin.,Titanium dioxide can make your skin more sensitive to light when used with Verteporfin which might cause skin reactions.
The risk or severity of adverse effects can be increased when Paclitaxel is combined with Verteporfin.,Using Paclitaxel with Verteporfin can increase the chances of side effects or make them worse.
The risk or severity of adverse effects can be increased when Docetaxel is combined with Verteporfin.,Combining Docetaxel with Verteporfin can raise the risk of experiencing more severe side effects.
The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Verteporfin.,"When Cabazitaxel is used with Verteporfin, it can make side effects more likely or severe."
Aminolevulinic acid may decrease the cardiotoxic activities of Digoxin.,Aminolevulinic acid may lower the harmful effects of Digoxin on the heart.
Temoporfin may decrease the cardiotoxic activities of Digoxin.,Temoporfin may lower the harmful effects of Digoxin on the heart.
Cyclophosphamide may decrease the cardiotoxic activities of Digoxin.,Cyclophosphamide may lower the harmful effects of Digoxin on the heart.
Paclitaxel may decrease the cardiotoxic activities of Digoxin.,Paclitaxel may decrease the risk of side effects on the heart when used with Digoxin.
Docetaxel may decrease the cardiotoxic activities of Digoxin.,Docetaxel may lower the risk of side effects when used with Digoxin.
Cabazitaxel may decrease the cardiotoxic activities of Digoxin.,Cabazitaxel may lower the risk of side effects when used with Digoxin.
The serum concentration of Digoxin can be decreased when it is combined with Bosentan.,Combining Bosentan with Digoxin can lower the concentration of Digoxin in the blood.
The serum concentration of Digoxin can be decreased when it is combined with Lumacaftor.,"When Digoxin is taken with Lumacaftor, its serum concentration may be reduced."
The serum concentration of Digoxin can be increased when it is combined with Silodosin.,Using Silodosin along with Digoxin may increase the amount of Digoxin in the bloodstream.
The serum concentration of Digoxin can be increased when it is combined with Edoxaban.,Taking Digoxin with Edoxaban can result in higher levels of Digoxin in the blood.
Anagrelide may decrease the cardiotoxic activities of Digoxin.,Anagrelide can reduce the harmful effects of Digoxin on the heart.
Carboplatin may decrease the cardiotoxic activities of Digoxin.,Carboplatin can lower the heart-related risks of Digoxin.
